Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Lu et al. 2016,NNH5_20,1275,0.0052,62.8,0.146,2.59,4,1.46,22.5,7.9,92.9,34.8,181.9,40.3,404,92.6
Lu et al. 2016,NNH5_1,674,0.0047,27.6,0.0105,0.28,0.61,0.248,4.56,1.62,29.6,15.1,110.1,31,413,118.1
Lu et al. 2016,YC083_33,818,0.06,28.2,0.234,3.32,5.32,2,25.2,7.23,78.8,25.9,115.3,23,208,43.6
Lu et al. 2016,YC083_4,807,0.582,30.6,0.348,1.91,3.41,1.25,14.7,4.69,58.7,23.3,115.1,26.9,272,68.6
Lu et al. 2016,YC083_34,949,0.049,42.1,0.225,3.2,5.31,2.31,23.9,6.64,70.2,25.8,123.1,26.2,262,64.5
Lu et al. 2016,YC083_29,1317,0.023,50.7,0.346,4.73,8.7,3.56,40.9,12.39,126.2,40.9,173.5,31.8,275.8,54.5
Lu et al. 2016,YC083_28,281,0.0038,13.36,0.0146,0.24,0.42,0.225,3.15,1.06,15.6,6.6,40.8,11.06,128.4,37.3
Lu et al. 2016,YC083_1,439,0.076,12.37,0.063,0.64,1.06,0.7,6.6,2.12,29,12.49,69.5,17.28,182.7,47.6
Lu et al. 2016,YC083_13,752,0.041,32.4,0.14,2.05,3.13,1.14,13.7,4.54,50.6,20,109.2,25.3,266,71.9
Lu et al. 2016,YC083_3,764,0.014,36.9,0.066,0.87,2.33,1,12.7,4.47,54.5,22.52,121.1,26.77,271.4,65.8
Lu et al. 2016,YC083_10,607,0.0065,26.08,0.061,0.95,2.72,0.9,12.1,4.41,51,18.51,89.7,19.38,177.5,39.3
Lu et al. 2016,YC083_25,772,0.158,36,0.175,1.86,3.01,1.12,13.4,4.78,53.2,21.5,117,28,300,77.2
Lu et al. 2016,YC083_22,913,0.91,36.86,0.22,1.73,2.67,1.22,16,5.1,65.1,26.41,136.9,32.4,341.8,87.8
Lu et al. 2016,YC083_15,910,0.011,25.3,0.25,3.2,5.2,2.17,23.3,7.5,86,29.5,137,27.7,240,51.1
Lu et al. 2016,ZK001_50,720,0.69,39.3,0.37,2.96,4.91,1.52,18.3,5.09,59.2,22,108,24.1,240,54.9
Lu et al. 2016,ZK001_48,3940,0.231,110.2,1.163,19.1,32.5,11.28,115.6,30.9,320,108.8,499,99.1,910,193.4
Lu et al. 2016,ZK001_39,5200,0.152,150,0.95,15.3,27,8.7,130,35.9,407,143,644,128,1120,224
Lu et al. 2016,ZK001_16,1669,0.122,41.3,0.241,3.71,7,2.76,35.4,10.53,127.2,48.6,244.1,50.7,485,104.9
Lu et al. 2016,ZK001_31,1524,0.119,21.5,0.088,1.08,3.45,1.07,23.5,8.14,112.2,42.8,230.6,49.7,481,106.2
Lu et al. 2016,ZK001_40,3120,0.08,68.5,0.202,3.18,7.4,2.66,46.2,16.04,208.5,79.8,404,83.2,780,165.3
Lu et al. 2016,ZK001_25,5830,0.076,154,1.016,18,31.1,12.09,137,39.2,433,161.3,747,148,1334,277.7
Lu et al. 2016,ZK001_9,1960,0.054,53.4,0.162,2.34,6.38,2.23,31.6,10.77,137.9,53.9,268,57.9,553,118.5
Lu et al. 2016,ZK001_38,1910,0.044,54.9,0.125,1.65,6,1.65,31.6,10.74,137.6,54.7,271.8,58.6,549,120.8
Lu et al. 2016,ZK001_14,4030,0.04,36.5,0.227,3.32,8.43,2.11,54.1,20.9,282,104,540,111,1000,199
Lu et al. 2016,ZK001_15,2290,0.039,109,0.46,6.7,11.9,4.8,50,16.1,180,64,296,58,533,110
Lu et al. 2016,ZK001_20,3650,0.039,72.1,0.349,6.7,14.2,5.93,74,21.9,263,100,509,110,1040,226
Lu et al. 2016,ZK001_6,2520,0.037,67,0.261,4.8,10.6,4.76,56.1,15.8,192,68.5,328,67.1,614,134
Lu et al. 2016,ZK001_42,2330,0.0176,46.7,0.138,2.57,6.25,2.77,39.1,13.2,164,63.8,320,67.5,654,140.5
Lu et al. 2016,ZK001_3,1290,0.0167,33.8,0.142,1.83,4.8,1.96,25.8,8.53,104.4,38.8,193,43.3,408,92.7
Lu et al. 2016,ZK001_5,1122,0.0134,27.7,0.127,1.61,3.85,1.82,24,7.53,92.8,35.7,182,37.5,370,80.7
Lu et al. 2016,ZK001_21,2933,0.0129,93.4,0.245,3.63,8.8,3.42,56.9,18.11,219.1,80.3,387,77.7,721,151.9
Lu et al. 2016,ZK001_49,1643,0.0129,57.6,0.104,2.04,4.88,1.6,30.3,10.26,122.9,46.96,231.7,47.3,461,96.8
Lu et al. 2016,ZK001_10,1970,0.0124,60.7,0.112,2.06,5.6,1.99,33.9,11.16,143.2,54.5,263,56.2,513,110.5
Lu et al. 2016,ZK001_23,1888,0.0123,41,0.17,2.84,6.41,2.61,36.6,11.63,142.5,52.5,257.7,54,517,109.5
Lu et al. 2016,ZK001_8,2540,0.0095,45.1,0.227,4.37,7.9,2.52,45,14.7,177,68.6,332,69.7,636,134.1
Lu et al. 2016,ZK001_2,981,0.009,23.6,0.043,1,2.85,1.08,17.1,6.22,76.7,30.6,158,34.4,331,75
Lu et al. 2016,ZK001_28,2420,0.0066,17.82,0.051,1,3.39,1.2,26.8,10.61,150.9,62.9,321.8,70.9,688,146.9
Lu et al. 2016,ZK001_32,3630,0.0048,44.3,0.09,1.86,7.32,2.52,49.6,19.2,249.7,97.5,459,92.9,845,167.6
Lu et al. 2016,ZK001_7,2540,0.0026,67.7,0.114,1.6,5.21,2.31,36.8,13.14,175.1,68,346,70.9,672,145.8
