Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Loader et al. 2017,Zircon_OT-140_14_1,1430.916748,0.038387794,19.56740189,0.092639647,2.162832975,5.175778389,1.61812377,27.11848831,8.993796349,117.7712784,46.45050049,241.711319,54.86831665,586.7208862,103.9094162
Loader et al. 2017,Zircon_OT-140_19_1,468.40271,0.034715753,10.18170452,0.036920484,0.500919044,0.881355047,0.352362692,5.00569725,1.779666781,26.63805008,12.97507477,79.25798035,23.44343185,299.7219543,69.58705902
Loader et al. 2017,Zircon_OT-140_2_1,779.5426636,0.027399858,14.4344883,0.063321382,0.928151667,2.301912069,0.763515174,12.11033058,4.454394341,60.19837189,24.88493347,133.4388885,33.58607101,367.747345,69.664711
Loader et al. 2017,Zircon_OT-140_26_1,1033.97876,0.070903592,31.75663567,0.049582142,0.792991877,2.348679304,0.834588468,15.7499342,5.893413067,79.7472229,32.9919548,173.5320587,40.58138275,424.8014526,78.16204834
Loader et al. 2017,Zircon_OT-140_6_1,630.0339966,0.058114171,18.72964478,0.076318733,0.766694009,1.544940829,0.682644308,8.992790222,3.356290579,44.62210083,19.30883026,103.8995743,26.4343071,305.6967163,58.3980751
Loader et al. 2017,Zircon_OT-154_1_1,916.895752,0.055489104,16.94677925,0.050874472,0.68133539,1.829490423,0.916749239,13.33871365,4.882215023,67.29029083,27.42106628,152.8699036,39.80656815,470.997467,74.55303955
Loader et al. 2017,Zircon_OT-154_15_1,3012.912109,0.035582498,15.30019093,0.294756204,4.464371681,10.36914444,2.738879919,60.56076431,21.1696167,270.2347412,101.0106888,485.682373,113.3084488,1221.040039,179.9815216
Loader et al. 2017,Zircon_OT-154_24_1,1103.228516,0.141783506,13.01593304,0.077541351,0.904201329,2.584606886,0.691323757,15.16728306,5.975049019,83.23882294,35.53716278,189.4174652,48.28367233,577.0942993,86.14242554
Loader et al. 2017,Zircon_OT-154_4_1,2586.088135,0.057807215,116.3154907,0.325689495,4.016100407,9.011631966,4.208124638,52.97344589,17.05595016,212.5764465,85.75790405,411.7944946,100.3838272,1289.582153,174.0240479
Loader et al. 2017,Zircon_OT-22_12_1,212.0505524,0.057441451,5.852064133,0.022976873,0.211530268,0.420107126,0.201097488,2.015111685,0.824948311,12.21585655,5.960753441,35.60249329,11.31829262,160.596756,32.61854172
Loader et al. 2017,Zircon_OT-22_18_1,1003.395325,0.209850565,16.68546104,0.115270346,1.536719561,2.978027344,0.405268312,15.77467537,6.000665188,84.42614746,33.715271,172.111496,43.82466888,495.3284302,72.39508057
Loader et al. 2017,Zircon_OT-22_24_1,529.3517456,0.034223754,11.29012775,0.028847292,0.321721882,0.88581413,0.368551522,6.200500011,2.677036285,36.93347168,16.58102036,90.12530518,24.3816433,290.754364,51.3883667
Loader et al. 2017,Zircon_OT-22_27_1,239.7155762,0.036087334,6.33440876,0.069723979,0.4273929,0.544136345,0.240749776,2.247628689,0.757032454,12.01126957,6.214831829,40.55988693,13.05195332,203.8542633,47.83509827
Loader et al. 2017,Zircon_OT-36_18_1,1029.832275,0.03840787,9.408891678,0.063868597,1.248743534,3.884018898,1.395888925,20.82744789,7.294337273,91.70717621,35.7598114,169.8289642,39.5968895,395.0605469,63.65782547
Loader et al. 2017,Zircon_OT-36_20_1,3061.925049,0.023775967,27.75028419,0.284736037,4.914402962,11.85068417,3.924657583,67.10637665,22.43305397,272.4237061,105.0333252,490.1087036,117.4832764,1236.837891,184.0864105
Loader et al. 2017,Zircon_OT-36_21_2,1665.855225,0.026566684,12.40202236,0.182881638,3.184340239,6.396282673,1.732581258,32.65195847,11.4524498,145.6511688,55.39771271,269.3143311,63.46141052,679.4367676,107.8802414
Loader et al. 2017,Zircon_OT-36_3_1,1537.980713,0.103128143,47.50638199,0.084455892,1.444672346,5.348379612,2.022642851,32.28039551,11.45877266,145.3426208,52.23321915,236.8553162,54.68096161,570.1203613,81.8576355
Loader et al. 2017,Zircon_OT-36_4_1,586.0336914,0.027596546,6.611299038,0.032335076,0.519863248,1.546755075,0.547635257,9.663583755,3.597138882,47.46425247,18.98573685,96.85619354,24.24821091,270.0086365,48.34745789
Loader et al. 2017,Zircon_OT-46_16_1,5868.123535,0.081737615,100.2690277,0.524691343,8.57953167,25.20698547,6.771363258,137.0478363,46.76706696,557.1221313,208.6086426,947.8475952,219.8464203,2178.921143,341.5481567
Loader et al. 2017,Zircon_OT-50_10_1,1424.878052,0.020647885,42.89048004,0.088786125,1.980928421,4.140305996,1.476450443,22.91081238,8.27913475,112.4658737,47.09732056,231.3568573,56.47198105,633.3227539,89.0651474
Loader et al. 2017,Zircon_OT-50_11_1,742.9602661,0.071566679,13.33743572,0.051614039,0.75988394,2.230512857,0.888013721,12.60155678,4.348471165,59.87870789,24.38184547,124.4535522,33.72434235,406.467865,59.62026215
Loader et al. 2017,Zircon_OT-50_13_2,1143.952515,0.023974203,20.23608589,0.130424351,2.081121206,5.280394077,1.600149155,24.97506714,8.381324768,109.9591904,38.57312012,184.1952515,45.03826904,531.2151489,71.66929626
Loader et al. 2017,Zircon_OT-50_14_1,880.5379028,0.06335298,22.50317955,0.06905929,0.613279998,2.222384691,0.852489412,14.35951614,5.237859726,75.47737122,26.87106323,137.1278687,36.80712128,453.5411377,63.55653
Loader et al. 2017,Zircon_OT-50_17_1,887.772644,0.087821595,18.65953064,0.080214418,0.837134182,2.500885487,0.931072831,12.95593166,5.002178669,63.33813477,27.21247864,143.2378235,39.54282379,474.2079468,74.95815277
Loader et al. 2017,Zircon_OT-64_1_2,479.7065125,0.055857431,10.23904324,0.055094462,0.470926225,1.269971728,0.463345379,7.310771942,2.688096285,35.83476257,15.28049469,82.04789734,21.23330498,260.8164368,48.41494751
Loader et al. 2017,Zircon_OT-64_16_1,694.3552856,0.025872039,7.927499294,0.031078482,0.712260723,1.63576591,0.57115674,10.92534447,4.138108253,53.20576096,22.72595215,118.2002945,30.03478813,357.4943848,59.68782043
Loader et al. 2017,Zircon_OT-64_5_2,898.5125732,0.062300246,8.334229469,0.048685424,0.976745069,2.937149763,1.039931893,17.62501717,5.843614101,76.03193665,29.8096962,146.2568207,34.51375198,362.0299377,62.79871368
Loader et al. 2017,Zircon_OT-8_10_1,534.5355225,0.045919061,12.62992954,0.05861396,0.490419507,0.838610947,0.523023665,4.92474556,1.915717602,31.0165844,14.20447445,83.2525177,25.81335449,373.627655,71.62240601
Loader et al. 2017,Zircon_OT-8_12_1,288.4461975,0.100196607,8.203935623,0.035487901,0.312025756,0.357475638,0.248083413,2.182585955,0.89254719,14.62878132,7.581544399,48.78307343,15.58566856,237.1507874,48.66754532
Loader et al. 2017,Zircon_OT-8_14_1,3001.536865,0.035760734,82.14251709,0.116728753,2.176843643,6.486871243,2.324514389,46.11333466,18.51286125,240.0745239,100.2744522,502.2958679,115.401947,1213.458008,206.2294312
Loader et al. 2017,Zircon_OT-8_2_2,244.5518036,0.03776297,5.648014545,0.044131625,0.363177538,0.578699231,0.238251328,2.786378384,0.970533013,12.98411846,6.698660374,40.53465652,12.7949667,186.6504974,34.74949265
Loader et al. 2017,Zircon_OT-80_13_1,386.4963989,0.027857719,10.0068388,0.059114154,0.471443534,0.966683745,0.404624581,3.624670982,1.353288889,19.41150284,10.38273144,66.42710114,21.41269112,321.7197571,69.95422363
Loader et al. 2017,Zircon_OT-80_16_1,528.2249756,0.032984849,9.293132782,0.03946913,0.456043094,1.211739421,0.385392696,8.224121094,2.978770256,39.17689133,16.59288979,88.38135529,23.24665833,270.7176514,44.81074905
Loader et al. 2017,Zircon_OT-80_24_1,668.3404541,0.02618649,16.85678864,0.044696692,0.893472135,1.773726463,0.604469478,10.27062607,3.809559345,52.06318283,21.74427795,112.7094193,28.63314247,321.3121643,54.41349792
Loader et al. 2017,Zircon_OT-80_3_2,719.4717407,0.033544678,10.48543072,0.122895703,1.206147075,1.781437159,1.200519204,9.21307373,3.288111925,42.23929596,19.07368088,116.434288,34.72636795,520.2182617,96.99396515
Loader et al. 2017,Zircon_OT-80_7_1,1327.953735,0.060293552,21.29933548,0.077329502,1.37783432,2.953278303,0.947892308,18.63546753,7.312851429,97.51303101,43.04011536,226.1321869,56.46364212,608.1713867,114.1399307
Loader et al. 2017,Zircon_OT-80_8_1,469.2550354,0.02226061,8.33609581,0.045281753,0.576247931,0.934514523,0.599897861,4.917080879,1.825950027,24.44039536,12.36415577,76.84965515,23.84609604,335.3555298,75.75048828
Loader et al. 2017,Zircon_OT-93_18_1,497.1004639,0.068430357,10.20844269,0.059161846,0.764285326,1.503971696,0.640458167,7.88381958,3.109248161,39.84270477,16.40895653,85.61735535,21.46030617,255.1993866,40.38826752
Loader et al. 2017,Zircon_OT-93_25_1,1532.294312,0.024999594,19.71612358,0.142829701,2.586214781,5.781647205,1.507448077,28.16418839,9.846183777,126.3529968,48.41221237,240.1524353,59.37247849,673.5096436,102.3744202
Loader et al. 2017,Zircon_OT-93_28_1,974.9425049,0.074288502,16.08085823,0.049378566,0.956978858,2.68631649,0.930190563,17.09290695,6.119876862,80.77297974,32.36042786,160.0823517,39.03162766,433.5422668,70.08364868
Loader et al. 2017,Zircon_OT-93_4_1,1038.331055,0.026102439,11.78047562,0.140097842,1.701704502,3.500032902,0.969959199,17.07885551,6.366350651,83.53050995,33.56090927,172.589798,42.60644913,495.1964722,83.31755829
Large et al. 2018,SL8_SLX8,546,0.06,13.59,0.071,2,3.28,1.46,15,4.05,45.2,16.81,82.5,19.39,193.4,40.8
Large et al. 2018,SL9_SLX44,1814,0.065,148.2,0.327,7.09,17.1,6.06,72.7,19.36,188.8,62.4,254.1,51.8,482,86.7
Large et al. 2018,SL9_SLX45,987,0.102,5.57,0.028,0.37,1.3,1.01,9.7,4.04,57.1,27.11,151.9,39.5,434.4,94
Large et al. 2018,SL9_SLX13,353,0.047,9.24,0.076,1.02,1.43,0.96,8.44,2.54,29.1,10.86,51.5,12.53,129.2,27.1
Large et al. 2018,SL24_SLX_z16,1386,0.03,22.86,0.354,5.81,8.79,3.35,42.3,12.7,138.8,48.85,209.8,43.55,392.1,72.3
Large et al. 2018,SL24_SLX_z12,1228,0.16,8.12,0.099,1.1,2.53,1.95,16.8,5.93,79.5,34.63,183.2,44.51,479.8,104.5
Large et al. 2018,SL24_SLX_z12,1021,0.019,10.5,0.024,0.602,1.83,1.486,13.23,4.81,64.8,28.62,151.9,37.36,400.4,86.9
Large et al. 2018,SL24_SLX_z11,916,0.031,6.45,0.042,0.65,1.65,1.31,11.43,3.97,54.4,25.1,137.5,36.5,414,92.2
Large et al. 2018,SL7_SLX74,86.2,0.114,6.6,0.036,0.39,0.38,0.131,1.19,0.364,4.8,2.26,12.9,3.86,48.5,12.3
Large et al. 2018,SL20 Mp_SLX86,2358,0.62,16.3,0.082,1.61,3.78,3.3,25.1,10.29,136.9,62.4,334,83.4,909,193.7
Large et al. 2018,SL20 Mp_SLX87,1113,0.23,11.4,0.166,1.55,1.99,1.82,14.2,5.32,70.7,31.6,168,42.2,431,95.8
Large et al. 2018,SL20 Mp_SLX87,1104,0.44,11.61,0.091,1.01,2.4,1.84,15.8,5.89,77.1,31.8,156.4,38.5,401,87
Large et al. 2018,SL10_SLX68,2790,0.109,64.7,0.603,10.66,18.7,9.62,83.4,23.1,254,91.4,403,95.3,913,177
Large et al. 2018,SL11_SLX73,407,0.089,10.94,0.082,1,1.41,1,7,2.15,26.1,11.9,64.5,17.8,203,48.4
Large et al. 2018,SL11_SLX30,387,0.065,23.7,0.051,0.69,0.96,0.415,5.97,1.71,23.2,10.87,57.9,16.42,183,44
Large et al. 2018,SL18_SLX94,427,0.055,11.3,0.105,1.83,2.23,1.14,8.89,2.58,32.1,12.1,61,14.74,167.3,38.7
Large et al. 2018,SL3_SLX_z6,262.6,0.0075,7.61,0.0342,0.586,1.1,0.638,5.46,1.566,19.27,7.59,39.33,9.67,108.4,25.22
Large et al. 2018,SL12_SLX12_z14,716,0.066,13.47,0.192,3.08,3.18,2.19,17.7,5.03,55.4,21.79,103.3,23.98,246.7,55.5
Large et al. 2018,SL12_SLX12_z21,131,0.075,8.89,0.042,0.37,0.17,0.369,2.17,0.63,8.35,3.66,19.4,5.39,65.6,16.6
Large et al. 2018,SL13_SLX101,1485,0.161,98.9,0.192,2.82,4.12,2.58,24.1,8.48,100.5,43,211.2,53.6,606,141.3
Large et al. 2018,SL13_SLX101,2094,0.17,122.5,0.351,5.84,9.4,4.88,44.3,13.75,150.2,60,297,73,835,191.3
Large et al. 2018,SL13_SLX99,3242,0.139,190.5,1.81,22.3,23.2,9.32,85.2,23.88,255.9,94.5,461,114.3,1237,270.8
Large et al. 2018,SL13_SLX100,1961,0.108,273.9,0.697,8.69,8.34,3.47,32.5,9.6,118.6,52.1,288,76.5,907,209.9
Large et al. 2018,Anju_A-6,1085,0.24,23.1,0.075,0.83,1.97,1.69,15.5,5.48,71,31.5,163.5,43.2,474,109.9
Large et al. 2018,Anju_A-9,848,0.073,18.3,0.057,0.76,1.44,0.92,9.8,3.77,50.1,22.5,124.4,34.4,402,93
Large et al. 2018,Anju_A-17,768,0.14,19.89,0.066,0.87,2.07,1.25,10.85,3.78,47.6,21.41,110.5,30.1,336,75.5
Large et al. 2018,Anju_A-22,843,0.13,19.9,0.22,1.82,2.05,1.37,11.7,3.99,50.5,23.18,131.5,35.8,409,90.6
Large et al. 2018,Anju_A-24,764,0.061,16.82,0.049,0.84,2.18,1.43,11.7,4.04,50.1,21.84,112.8,29.1,326,73.4
Large et al. 2018,Anju_A-28,1022,0.046,29.4,0.065,0.8,2.23,1.17,13.27,4.5,62.9,29.5,155,41.5,465,101.4
Large et al. 2020,BHX_1b_06 - 2,511,0.0087,3.9,0.0264,0.291,1.01,0.429,6.29,2.4,34.7,15.67,82.8,21.2,236,56.6
Large et al. 2020,BHX_1b_07 - 1,461,0.0134,3.88,0.023,0.41,1.14,0.5,6.53,2.41,30.6,14.07,74.8,19.99,229.8,55.7
Large et al. 2020,BHX_1b_09 - 2,592,0.0105,3.78,0.0356,1,1.98,0.907,11,3.8,47.3,19.2,94.4,22.92,242.3,57.2
Large et al. 2020,BHX_1b_15 - 1,840,0.011,5.57,0.025,0.5,1.34,0.67,12.1,4.71,61.2,26.3,133,33.3,355,80
Large et al. 2020,BHX_1b_19 - 1,677,0.0224,3.67,0.027,0.514,1.31,0.732,9.18,3.35,47.2,21.32,111.9,28.4,313.3,76.2
Large et al. 2020,BHX_1b_22 - 1,890,0.042,6.33,0.034,0.64,1.76,0.8,11.86,4.75,62,28.2,146.2,35.5,376,86.9
Large et al. 2020,BHX_1s_1 - 1,253.6,0.0035,2.44,0.0035,0.182,0.564,0.3,3.56,1.346,17.7,8.27,42.6,11.02,125.4,29.39
Large et al. 2020,BHX_1s_13 - 1,1026,0.0165,7.21,0.114,2.2,3.74,1.434,20.43,6.9,82.7,33.58,162.6,39.38,403.1,88.7
Large et al. 2020,BHX_1s_14 - 1,2067,0.024,12.45,0.219,4.36,8.81,3.58,41.3,13.47,158.5,61.9,285.1,65.7,662,136.5
Large et al. 2020,BHX_1s_14 - 2,2799,0.0199,17.46,0.255,5.02,10.37,4.41,55.5,18.12,212.9,83,382.8,88.3,876,180.8
Large et al. 2020,BHX_1s_15 - 2,630,0.0034,8.2,0.0174,0.309,1.15,0.476,9.02,3.52,47.8,20.3,103.1,25.1,273,61.5
Large et al. 2020,BHX_1s_17 - 2,678,0.0058,5.11,0.0173,0.397,1.18,0.541,8.84,3.43,48.56,21.82,111.8,28.4,305.7,70.33
Large et al. 2020,BHX_1s_2 - 1,1321,0.0086,9.8,0.03,0.83,2.01,1.008,15.81,6.75,93.9,41.9,211.8,53.2,576,125.4
Large et al. 2020,BHX_1s_2 - 2,386,0.0052,3.4,0.0078,0.238,0.712,0.354,5.08,1.955,27.4,12.41,64.7,16.47,179.7,41.8
Large et al. 2020,BHX_1s_23 - 1,1250,0.0068,8.7,0.116,2.23,4.89,1.85,25.6,8.47,103,40,188,45,459,100.3
Large et al. 2020,BHX_1s_23 - 2,1217,0.037,9.39,0.046,0.73,2.13,0.917,14.56,6.15,88.9,39.41,206.9,51.7,555,126.7
Large et al. 2020,BHX_1s_24 - 1,1180,0.0053,7.54,0.041,1.15,2.46,1.36,17.8,6.6,86.1,37.1,183,44.8,476,103.6
Large et al. 2020,BHX_1s_26 - 2,678,0.0042,5,0.0179,0.427,1.08,0.572,9.51,3.57,49.5,21.46,111.5,28.2,313,72.1
Large et al. 2020,BHX_1s_27 - 1,1090,0.004,8.71,0.0329,0.66,2.25,1.04,15.9,6.36,83.1,36,178.7,43.1,453,101.4
Large et al. 2020,BHX_1s_28 - 1,430.3,0.0067,3.45,0.0176,0.319,0.88,0.422,5.74,2.321,30.8,13.46,70.3,18.22,199.8,46.56
Large et al. 2020,BHX_1s_28 - 2,461,0.0101,3.42,0.0101,0.23,0.88,0.393,5.86,2.272,31,14.21,76.1,19.65,221.6,54.2
Large et al. 2020,BHX_1s_29 - 2,486,0.0046,3.93,0.0106,0.251,1.04,0.503,6.24,2.44,33.6,15.5,78.2,20.3,219,50.6
Large et al. 2020,BHX_1s_3 - 1,1291,0.0051,7.57,0.071,1.56,3.01,1.642,21.32,7.76,100.8,42.41,209.2,50.84,532,119.5
Large et al. 2020,BHX_1s_32 - 2,967,0.0103,6.61,0.0268,0.48,1.56,0.756,11.34,4.77,67.8,31,155.7,39.2,422,94.3
Large et al. 2020,BHX_1s_33 - 1,1060,0.0078,6.67,0.088,1.99,3.97,1.78,22.2,7.27,87.5,35,163,39.3,402,86.3
Large et al. 2020,BHX_1s_33 - 2,748,0.0194,4.56,0.07,1.28,3.09,1.29,15.89,5.24,63.2,24.28,113.4,27.04,278.6,61.1
Large et al. 2020,BHX_1s_34 - 2,577,0.038,4.12,0.036,0.423,1.16,0.512,7.03,2.79,39.3,17.56,92.4,23.5,263,61.9
Large et al. 2020,BHX_1s_34 - 3,645,0.0112,4.23,0.0198,0.498,1.13,0.607,7.73,3.01,44.5,20.02,107.2,27.02,299.1,70.3
Large et al. 2020,BHX_1s_35 - 1,745,0.0066,5.77,0.088,1.75,3.32,1.28,15.4,5.19,62.7,24.9,116.5,28.5,296,65.5
Large et al. 2020,BHX_1s_36 - 1,2490,0.0196,15.65,0.198,4.24,8.78,4.42,49.7,15.99,187.8,71.8,336,77.7,800,169.8
Large et al. 2020,BHX_1s_38 - 1,826,0.0064,5.28,0.086,1.29,2.58,1.23,15.16,5.28,65.7,26.98,134.5,32.19,346.5,77
Large et al. 2020,BHX_1s_40 - 2,514,0.0059,3.09,0.0133,0.361,0.89,0.497,6.89,2.66,36.1,15.98,84.4,21.87,240.7,56.8
Large et al. 2020,BHX_1s_41 - 1,1729,0.0056,11.13,0.041,0.98,2.53,1.499,21.9,8.79,120.6,52,261.5,63.5,670,148.4
Large et al. 2020,BHX_1s_47 - 1,1078,0.0124,6.48,0.112,2.13,4.1,1.86,22.5,7.34,90.2,35.55,165.6,40.23,408.2,89.2
Large et al. 2020,BHX_1s_48 - 2,1377,0.0044,9.91,0.0353,0.78,2.54,1.072,16.12,6.33,89.5,41.4,220.1,55.4,604,131.7
Large et al. 2020,BHX_1s_53 - 1,926,0.32,6.13,0.22,2.64,4.13,1.88,20.17,6.7,78.6,30.92,144.3,34.13,350.3,76.2
Large et al. 2020,BHX_1s_55 - 1,596,0.0103,3.86,0.016,0.67,1.36,0.57,8.5,3.117,41.2,18.74,100.6,25.29,273,62.2
Large et al. 2020,BHX_1s_58 - 1,832,0.0092,4.58,0.087,1.64,3.39,1.42,17,5.55,66.8,26.9,131.2,32.3,347.1,77.3
Large et al. 2020,BHX_1s_6 - 2,425,0.0154,3.47,0.0213,0.357,0.88,0.44,5.79,2.37,30.9,13.43,69.7,17.69,196.1,46.5
Large et al. 2020,BHX_1s_6 - 3,835,0.0045,5.77,0.025,0.599,1.58,0.723,11.79,4.54,62.5,26.99,138.5,34.04,364,85.4
Large et al. 2020,BHX_1s_60 - 1,1491,0.0159,8.74,0.166,3.33,5.85,2.46,31.6,10.3,124.7,47.4,222.6,51.1,519,109.8
Large et al. 2020,BHX_1s_60 - 3,516,0.0096,4.02,0.0206,0.353,0.97,0.481,7.23,2.58,35.6,15.61,84.9,22.2,254,61.3
Large et al. 2020,BHX_1s_65 - 1,438,0.029,3.39,0.024,0.39,0.81,0.434,5.77,2.317,33,13.13,69.8,18.2,198,46.3
Large et al. 2020,BHX_1s_65 - 2,1150,0.0075,8.65,0.0333,0.625,1.77,0.933,15.79,6.26,85.4,37.3,185,45.4,486,112.1
Large et al. 2020,BHX_1s_66 - 2,521,0.0061,3.52,0.022,0.352,0.93,0.512,7.04,2.57,36.3,16.1,86.4,21.86,244.2,58.5
Large et al. 2020,BHX_1s_69 - 1,869,0.0129,5.52,0.038,0.61,1.44,0.779,10.72,4.42,62.6,27.9,146.2,36.1,389,90.3
Large et al. 2020,BHX_1s_69 - 2,488,0.118,3.6,0.075,0.84,1.89,0.84,8.3,3.13,36.9,15.3,76.4,18.42,199.7,47.6
Large et al. 2020,BHX_1s_70 - 1,1089,0.029,8.96,0.107,1.6,2.68,1.35,14.8,5.43,73.2,33.52,184,48.4,519,125.3
Large et al. 2020,BHX_1s_74 - 1,459,0.015,4.19,0.0298,0.58,1.22,0.549,7.49,2.6,34,14.47,74.4,18.68,207,48.6
Large et al. 2020,BHX_1s_75 - 2,512,0.0043,3.9,0.013,0.314,0.8,0.426,6.47,2.53,35.9,16.08,85.5,22,240.4,57.7
Large et al. 2020,BHX_1s_80 - 1,793,0.0101,4.45,0.045,0.85,2.27,1.07,12.79,4.56,59.6,25.5,129,31,338,78
Large et al. 2020,BHX_1s_81 - 1,944,0.0093,6.48,0.113,2.09,3.97,1.541,18.9,6.42,78.4,31.23,150.6,35.93,373,81.3
Large et al. 2020,BHX_1s_9 - 2,342,0.0041,3.46,0.019,0.434,0.97,0.413,5.37,1.99,24.3,10.4,55.1,14.62,171.7,42.02
Large et al. 2020,BHX_2s_02 - 1,671,0.0315,4.43,0.026,0.27,1.07,0.63,8.3,3.56,46.7,21.85,114.9,30,339,78.3
Large et al. 2020,BHX_2s_03 - 1,489,0.0157,3.01,0.0204,0.349,1.02,0.484,6.68,2.56,34.5,14.8,78.6,20.5,228,55.2
Large et al. 2020,BHX_2s_12 - 2,606,0.0074,4.99,0.0111,0.361,1.07,0.49,7.48,3.02,42.1,18.7,98.1,24.9,278,65.6
Large et al. 2020,BHX_2s_13 - 1,834,0.0227,5.81,0.035,0.455,1.49,0.615,10.64,4.21,58.4,26.4,139.2,35.5,393,94.5
Large et al. 2020,BHX_2s_13 - 2,743,0.0198,9.45,0.0222,0.356,1.26,0.496,9.44,3.8,52.4,23.4,121.9,30.6,330,77.5
Large et al. 2020,BHX_2s_26 - 1,642,0.0084,4.45,0.0145,0.332,1.19,0.498,8.67,3.23,44.9,19.94,104.1,27.36,301.2,73.2
Large et al. 2020,BHX_2s_27 - 2,752,0.0077,10.53,0.0165,0.361,1.3,0.58,9.47,3.97,56.6,24.29,123.8,29.44,317.1,71.9
Large et al. 2020,BHX_2s_31 - 1,1544,0.0122,10.83,0.043,0.76,2.55,1.314,20.4,8.09,110.9,46.8,236.7,56.7,605,133
Large et al. 2020,BHX_2s_33 - 2,553,0.104,5.31,0.053,0.63,0.98,0.432,7.29,2.77,38.8,17.14,90.2,22.73,256.3,61.2
Large et al. 2020,BHX_2s_43 - 1,1290,0.017,8.8,0.144,2.71,4.74,1.93,22.3,7.7,96,39.2,190,45.8,476,104
Large et al. 2020,BHX_2s_43 - 2,308,0.0115,4.2,0.0195,0.275,0.63,0.255,4.58,1.618,21.61,9.45,49.6,13.06,147.5,35
Large et al. 2020,BHX_2s_53 - 1,3200,0.0298,22.3,0.32,5.71,11.1,4.22,59.7,19.5,233,88.8,412,93.8,913,196
Large et al. 2020,BHX_2s_60 - 1,727,0.0082,4.51,0.055,1.44,2.95,1.248,15.47,5.07,59.9,23.61,113.2,26.67,278.4,63
Large et al. 2020,BHX_2s_62 - 1,1140,0.0149,9.1,0.156,2.96,5.77,2.5,27.1,8.5,99,37.4,177,41.5,432,94.5
Large et al. 2020,BHX_2s_62 - 2,699,0.0093,5.23,0.076,1.54,2.8,1.23,13.7,4.49,53.4,22.2,108.6,25.6,289,65.3
Large et al. 2020,BHX_2s_66 - 1,2010,0.0183,12.15,0.18,3.47,6.02,2.12,36.7,12.81,156,62.1,284,62.8,616,125.1
Large et al. 2020,BHX_2s_67 - 1,1930,0.0097,12.04,0.06,1.39,3.65,1.56,25.2,9.08,123.5,53.3,271.6,66.4,707,164.5
Large et al. 2020,BHX_2s_72 - 1,254.2,0.0125,2.71,0.0151,0.267,0.73,0.258,4.2,1.47,18.8,8.03,40.4,10.43,115.8,27.69
Large et al. 2020,BHX_2b_01 - 2,403,0.0074,4.22,0.0131,0.22,0.71,0.261,4.79,1.87,28.2,12.6,66.1,17.4,193,46.3
Large et al. 2020,BHX_2b_04 - 1,724,0.0051,6.83,0.047,0.86,1.57,0.565,9.5,3.46,48.8,22.2,119.3,30.8,347,81.9
Large et al. 2020,BHX_2b_05 - 1,621,0.0278,5.28,0.055,1.19,2.48,0.95,12.6,4.18,50.3,19.9,96,23.2,247,55.9
Large et al. 2020,BHX_2b_18 - 1,1071,0.0163,7.37,0.129,2.38,4.02,1.87,21.9,7.3,89.5,35.3,166,39,413,93.5
Large et al. 2020,BHX_2b_22 - 2,681,0.0059,6.49,0.036,0.75,2.15,0.883,12.79,4.42,53.7,22.02,106.9,26.12,281.3,64
Large et al. 2020,BHX_2b_23 - 1,645,0.006,4.17,0.0267,0.74,2.54,0.954,12.65,4.31,52.5,20.9,100.5,23.7,250,56.2
Large et al. 2020,BHX_2b_25 - 1,2950,0.033,16.5,0.239,5.05,10.8,4.55,56.5,18.4,213,83,383,86.9,858,179
Large et al. 2020,BHX_2b_26 - 2,323.5,0.0166,3.77,0.032,0.291,0.66,0.285,4.41,1.659,22.49,10.3,53.3,13.45,156.9,37.72
Large et al. 2020,BHX_4s_02 - 1,1970,0.0135,10.94,0.147,2.75,5.25,1.89,33.6,11.37,145.9,58.7,269,59.9,598,125.9
Large et al. 2020,BHX_4s_06 - 1,843,0.014,7.01,0.0313,0.68,1.89,0.782,12.41,4.66,62.2,27.22,138,33.63,370,86.3
Large et al. 2020,BHX_4s_07 - 1,515,0.0082,4.47,0.041,1.12,1.94,0.843,9.46,3.12,39.6,16.27,81.3,20.23,224.6,52.41
Large et al. 2020,BHX_4s_15 - 1,696,0.0119,4.35,0.0267,0.42,1.2,0.725,9.71,3.4,49.6,21.98,113.9,28.23,309.6,73.6
Large et al. 2020,BHX_4s_18 - 1,619,0.0212,4.76,0.0417,0.71,1.73,0.728,10.13,3.503,46.3,19.45,100.1,25.01,274,65.2
Large et al. 2020,BHX_4s_19 - 1,794,0.138,6.22,0.242,2.25,3.56,1.64,16.4,5.54,65.5,26.05,124.8,30.01,319.9,74.4
Large et al. 2020,BHX_4s_23 - 1,397,0.0139,2.64,0.0141,0.191,0.719,0.329,4.94,1.969,26.21,12.1,64.2,16.79,195.7,47.98
Large et al. 2020,BHX_4s_25 - 1,914,0.0111,7.77,0.072,1.36,2.89,1.011,16,5.68,72.7,30.2,148.6,34.7,356,79.5
Large et al. 2020,BHX_4s_27 - 1,810,0.0126,6.8,0.065,0.98,2.71,1.05,16.4,5.1,65,27.9,127,32.2,333,76
Large et al. 2020,BHX_4s_30 - 1,708,0.0092,4.8,0.0197,0.79,1.75,0.724,10.78,3.92,52.6,22.2,115.8,28.4,313,75.1
